stop_id;Frequency
1;398
3;75
4;24
5;1088
6;2117
7;1582
8;2965
9;1047
10;1582
14;2250
18;2161
19;1824
20;1489
22;1971
23;1272
24;2607
25;828
26;1220
27;1084
28;4562
29;2727
30;1092
32;1179
33;1903
34;982
35;2070
36;1409
37;1816
39;1500
40;1503
41;901
42;1409
43;1816
44;982
45;332
46;872
48;817
49;1134
50;1665
51;42
52;138
56;1052
57;1010
58;678
59;1472
60;855
62;153
63;1675
64;499
65;225
66;2141
67;4283
72;1014
74;742
76;105
81;972
82;442
83;148
84;1067
87;716
90;578
91;63
93;837
94;288
95;547
97;1675
98;162
99;342
100;324
103;994
105;300
106;1209
108;84
114;228
115;264
116;471
118;982
121;1017
122;401
123;180
124;398
125;2117
130;129
131;505
132;505
133;505
134;505
135;666
138;1791
139;502
140;162
141;1420
142;977
145;873
146;682
148;366
149;274
152;1899
155;162
156;1358
158;2747
162;376
163;331
164;43
165;39
166;387
168;171
172;591
178;591
185;24
186;24
201;1131
202;1278
203;1265
204;1255
205;786
206;664
207;786
210;634
211;1080
212;403
216;2035
218;2299
219;1702
220;924
226;2824
227;4332
228;1109
229;1875
231;466
232;327
235;324
237;327
238;324
239;327
240;324
241;847
242;847
244;868
245;868
246;868
248;378
250;521
253;324
256;327
257;87
262;324
263;327
265;324
266;3378
267;3342
268;726
271;3473
272;3342
273;1722
276;136
424;191
425;191
426;191
427;191
428;191
429;191
430;191
431;191
432;191
433;191
434;233
435;239
439;191
440;191
441;191
445;48
446;42
447;221
448;42
449;48
450;42
451;48
454;226
455;60
456;42
457;48
461;106
462;106
463;106
464;106
466;1120
468;1065
469;2753
470;2815
478;154
480;148
481;106
482;148
483;148
484;154
485;148
486;154
487;332
488;327
491;106
492;106
494;106
496;1120
497;1120
499;1065
502;223
503;226
504;223
505;226
506;223
507;226
508;214
509;211
510;214
511;211
512;214
513;211
516;779
519;843
520;1545
547;294
550;84
551;84
552;84
553;2117
555;86
558;2514
561;94
562;1304
563;88
564;86
565;1525
566;1430
568;1238
569;84
570;84
571;92
573;95
575;334
576;319
577;86
578;88
579;337
581;334
582;337
583;92
588;90
611;1432
612;1439
619;173
623;1777
629;193
631;196
635;79
636;78
637;79
638;78
639;79
643;83
645;583
695;84
704;1031
705;1030
706;1031
707;1030
708;90
709;90
710;90
711;70
712;188
713;197
714;197
715;197
716;188
717;188
718;188
720;60
721;60
723;1031
724;1031
725;1030
726;1030
729;814
731;1057
732;1055
734;1057
735;1844
737;1844
738;1844
739;1859
740;1859
742;1859
743;1859
744;804
745;804
746;787
747;787
749;131
757;81
759;84
761;176
763;794
765;785
767;84
770;166
773;89
775;89
777;868
779;671
783;659
785;197
786;1819
787;847
790;233
792;81
794;81
796;664
798;15
799;48
808;327
814;1417
815;1410
816;1221
817;1208
818;1362
819;1372
821;458
823;452
824;39
825;30
827;945
828;1372
829;452
833;36
834;33
836;472
837;748
838;680
839;33
840;36
842;33
843;36
844;36
845;33
846;33
847;36
848;36
849;33
850;36
852;33
853;33
854;36
856;543
857;766
859;659
860;463
861;570
862;731
863;570
864;502
868;502
869;543
870;567
871;63
872;576
874;405
875;457
876;1797
884;3464
885;78
886;77
887;543
888;472
889;3523
890;3523
891;3464
892;5150
893;5093
896;5306
897;5180
898;558
899;1692
904;27
905;424
906;347
908;12
909;12
910;12
911;12
912;12
913;12
914;12
915;12
916;188
917;223
918;291
919;5614
920;291
921;293
922;293
923;386
924;424
926;89
927;95
928;90
929;2951
996;782
997;784
998;795
999;771
1000;78
1001;806
1002;857
1003;781
1004;831
1005;336
1008;814
1009;800
1010;784
