GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,2024 no.,2025 no.,Area (km2),Population density 2025 (persons/km2)
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011001,Alexandra Hills,17225,17361,13.6,1273.6
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011002,Belmont - Gumdale,7904,7965,33.1,240.6
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011003,Birkdale,15897,16024,11.6,1381.5
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011004,Capalaba,19118,19277,18.9,1020.5
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011005,Thorneside,4024,4020,2.7,1508
3GBRI,Greater Brisbane,301,Brisbane - East,30101,Capalaba,301011006,Wellington Point,12300,12391,9.4,1317.6
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021007,Cleveland,16755,16952,11.9,1430
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021008,Ormiston,6910,7042,4.9,1428.7
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021009,Redland Bay,19550,20283,46.9,432.5
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021011,Sheldon - Mount Cotton,8698,8742,65.2,134.1
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021012,Thornlands,21439,21863,21.6,1010
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021013,Victoria Point,15815,16134,13.4,1203.5
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021550,North Stradbroke Island,2259,2276,277.1,8.2
3GBRI,Greater Brisbane,301,Brisbane - East,30102,Cleveland - Stradbroke,301021551,Southern Moreton Bay Islands,9950,10466,39.9,262.1
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031014,Brisbane Port - Lytton,10,10,32.8,0.3
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031015,Manly - Lota,8230,8319,4.2,1981.2
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031016,Manly West,12311,12380,4.9,2523.7
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031017,Murarrie,5149,5204,8.4,616.7
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031018,Tingalpa,9308,9404,8.9,1053.5
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031019,Wakerley,9805,9865,5.2,1898.5
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031020,Wynnum,15253,15505,6.1,2528.4
3GBRI,Greater Brisbane,301,Brisbane - East,30103,Wynnum - Manly,301031021,Wynnum West - Hemmant,16762,17027,12.3,1387.2
